Rosemary Foster,department, ,interests,"['stress', 'retention', 'improvement']"
Karen Fox,department, ,interests,"['hawaiian', 'outdoor']"
Helena Fracchia,department, ,interests,"['roman', 'greek']"
Daniel Fried,department, ,interests,['ontology']
Michael Frishkopf,department, ,interests,"['bulgaria', 'egypt', 'proxemics', 'arab', 'tajikistan', 'ethnomusicology', 'mass', 'islam', 'islamic']"
Jim Gaa,department, ,interests,"['membership', 'relating']"
Christina Gagne,department, ,interests,['conceptual']
Cezary Gajewski,department, ,interests,"['designer', 'gaming', 'function', 'prototype', 'intuitive', 'humancomputer']"
Valentina Galvani,department, ,interests,"['pricing', 'trading', 'equilibrium', 'diversification']"
Judith Garber,department, 
Sandra Garvie-Lok,department, ,interests,"['siberia', 'reconstruction', 'mediterranean', 'dogs', 'bioarchaeology', 'residential', 'isotope', 'greece', 'nutrition', 'metacognition', 'contextual', 'problemsolving']"
David Gay,department, 
Elaine Geddes,department, 
Joel Gehman,department, ,interests,"['gas', 'exploitation']"
Ian Gellatly,department, ,interests,"['structural', 'designation', 'personality', 'characteristics', 'employee', 'expressed', 'drive', 'engineering']"
Robert Gephard,department, 
Christina Gier,department, ,interests,"['vienna', 'soldiers', 'subjectivity']"
Marnie Giesbretch,department, ,interests,"['cd', 'church', 'commissioned', 'rochester', 'paris', 'musician', 'symphonic', 'austria', 'soloist', 'winter']"
Mike Gismondi,department, ,interests,"['continuities', 'debate', 'hub', 'incentives', 'imaginary']"
Florence Glanfield,department, ,interests,"['remote', 'multilingual', 'lessons', 'capacity']"
Doug Gleddie,department, ,interests,['intrinsic']
Ellen Goddard,department, ,interests,['cooperatives']
Donna Goodwin,department, 
Lise Gotell,department,Women's and Gender Studies
Sean Gouglas,department, ,interests,"['diaries', 'substantive', 'colorado', 'sea', 'commissioner', 'region', 'latitude', 'workers', 'integral', 'gold', 'dangerous', 'route', 'stratification', 'citadel', 'entrepreneur', 'responsibility', 'intelligence', 'artificial', 'coastal', 'occupational', 'bc', 'demographic', 'independence', 'crop']"
Andrew Gow,department, ,interests,"['revelation', 'medicine', 'legend', 'cartography', 'existence']"
Andre Grace,department, ,interests,"['halifax', 'fyrefly', 'nonlinear', 'pennsylvania', 'lgbtq', 'florida', 'lifelong', 'camp', 'dalhousie', 'socialization', 'autoethnography', 'accommodation']"
David Gramit,department, ,interests,"['commentary', 'austrogerman', 'excerpts', 'biography', 'companion', 'letters']"
Roger Graves,department, ,interests,"['inkshed', 'congress', 'winnipeg', 'inventory', 'coauthor']"
Heather Graves,department, 
Royston Greenwood,department, ,interests,"['nanotubes', 'nanotechnology', 'carbon', 'nanotoxicology']"
Joan Greer,department, ,interests,"['genius', 'flesh', 'christ', 'catalogue', 'spring']"
Jana Grekul,department, ,interests,"['deviance', 'prison', 'punishment']"
Glenn Griener,department, ,interests,['biomedical']
Anna Gural-Migdal,department, ,interests,['postmodern']
Brenda J. Gustafson,department, 
Xavier Gutierrez,department, 
